                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.95606,                 2.4671,                  1.193,                0.56215,                0.62956,                0.60655,                0.45264,                0.99887,                 1.9031,                 1.2007,               0.070226,              0.0033083,              0.0033083
                      1,                 0.9749,                 1.5785,                 1.1755,                0.61462,                0.66026,                 0.6776,                0.50547,                 0.9687,                 1.5827,                 1.1768,               0.040006,              0.0064224,              0.0064224
                      2,                 1.0274,                 1.4575,                 1.2192,                0.67952,                 0.5695,                0.63617,                0.46192,                 1.1198,                 1.6653,                 1.3055,              0.0095672,              0.0093166,              0.0093166
                      3,                 1.0651,                 1.4232,                 1.2312,                0.67775,                0.64329,                0.69203,                0.48718,                 1.1325,                 1.4704,                 1.3197,                0.00901,                0.00901,                0.00901
                      4,                 1.0607,                 1.3458,                 1.2346,                0.69227,                 0.6906,                0.72971,                0.52763,                 1.0858,                 1.3786,                 1.2703,                0.00901,                0.00901,                0.00901
                      5,                 1.0642,                 1.3215,                 1.2394,                0.74321,                0.68826,                0.74743,                0.56464,                 1.0236,                 1.2625,                 1.2255,                0.00868,                0.00868,                0.00868
                      6,                  1.019,                 1.2284,                 1.2103,                0.70868,                0.70109,                0.75608,                0.57582,                 1.0122,                  1.281,                 1.2158,                0.00835,                0.00835,                0.00835
                      7,                0.99381,                  1.173,                 1.2049,                0.77181,                0.71335,                0.81371,                0.62261,                 1.0303,                 1.1481,                  1.203,                0.00802,                0.00802,                0.00802
                      8,                0.98002,                 1.1122,                 1.1895,                0.77618,                0.73592,                0.79296,                0.61031,                0.99287,                 1.1048,                 1.2021,                0.00769,                0.00769,                0.00769
                      9,                0.97834,                  1.087,                 1.1826,                0.79072,                0.76709,                0.82447,                 0.6362,                0.94607,                 1.0143,                 1.1725,                0.00736,                0.00736,                0.00736
                     10,                0.96241,                 1.0614,                 1.1816,                0.82268,                0.76276,                0.84021,                0.64893,                0.93735,                0.96761,                 1.1549,                0.00703,                0.00703,                0.00703
                     11,                0.92832,                 1.0066,                 1.1604,                0.81195,                0.76036,                0.83557,                0.65494,                 0.9216,                0.99783,                  1.156,                 0.0067,                 0.0067,                 0.0067
                     12,                0.91181,                0.98146,                 1.1459,                 0.8515,                0.75882,                0.85997,                0.67531,                0.91685,                 0.8951,                 1.1477,                0.00637,                0.00637,                0.00637
                     13,                0.91971,                0.95569,                 1.1508,                0.78878,                0.77702,                0.83978,                0.65564,                0.91245,                0.96572,                 1.1382,                0.00604,                0.00604,                0.00604
                     14,                0.89117,                 0.9243,                 1.1408,                0.84404,                0.79227,                0.87094,                0.67959,                 0.9168,                0.88404,                 1.1414,                0.00571,                0.00571,                0.00571
                     15,                0.88205,                0.89209,                 1.1262,                0.86649,                0.78765,                0.88124,                0.70489,                0.87232,                   0.83,                 1.1204,                0.00538,                0.00538,                0.00538
                     16,                0.87564,                0.87581,                 1.1262,                0.86753,                0.79626,                 0.8798,                0.70805,                0.85652,                0.80382,                 1.1038,                0.00505,                0.00505,                0.00505
                     17,                0.85968,                0.84967,                  1.118,                0.84606,                0.79908,                0.87583,                  0.705,                0.85292,                0.78957,                 1.0956,                0.00472,                0.00472,                0.00472
                     18,                 0.8521,                0.82233,                  1.111,                0.83956,                0.81793,                0.87738,                0.70557,                0.85611,                0.81288,                 1.1085,                0.00439,                0.00439,                0.00439
                     19,                0.83409,                0.82259,                 1.1101,                0.89271,                0.81326,                0.90409,                0.73294,                0.84195,                0.73676,                 1.0962,                0.00406,                0.00406,                0.00406
                     20,                0.81218,                0.77482,                 1.1004,                0.82612,                0.82857,                0.88259,                 0.7101,                 0.8503,                0.78043,                 1.0972,                0.00373,                0.00373,                0.00373
                     21,                0.79963,                0.73746,                 1.0871,                0.85267,                0.81196,                0.89063,                0.72176,                0.85935,                0.76322,                 1.0952,                 0.0034,                 0.0034,                 0.0034
                     22,                0.77552,                0.69759,                 1.0728,                0.86491,                 0.8216,                0.89952,                0.73057,                0.83363,                0.73412,                 1.0762,                0.00307,                0.00307,                0.00307
                     23,                0.76375,                0.67716,                 1.0715,                0.88272,                0.81538,                0.90871,                0.74433,                0.81874,                0.71956,                 1.0716,                0.00274,                0.00274,                0.00274
                     24,                0.74945,                0.65061,                 1.0591,                0.87525,                0.83634,                0.91083,                 0.7516,                 0.8063,                0.69551,                 1.0653,                0.00241,                0.00241,                0.00241
                     25,                0.72536,                 0.6232,                 1.0402,                0.89169,                0.83117,                 0.9122,                0.74975,                0.79228,                0.68392,                 1.0602,                0.00208,                0.00208,                0.00208
                     26,                0.71984,                0.60911,                  1.036,                0.90965,                0.82352,                0.91658,                0.76027,                0.78955,                0.66861,                   1.05,                0.00175,                0.00175,                0.00175
                     27,                0.70391,                0.59149,                 1.0336,                0.88106,                0.86141,                0.91773,                0.75853,                0.78582,                0.65315,                 1.0499,                0.00142,                0.00142,                0.00142
                     28,                0.69275,                0.56355,                 1.0238,                0.89096,                0.85188,                0.92321,                0.76782,                 0.7812,                0.64827,                 1.0444,                0.00109,                0.00109,                0.00109
                     29,                0.68216,                0.54904,                 1.0136,                0.89186,                0.85063,                0.91989,                 0.7667,                0.76707,                0.64587,                 1.0388,                0.00076,                0.00076,                0.00076
